,종류,상품명,가격,칼로리,나트륨,탄수화물,당류,지방,트랜스지방,포화지방,콜레스테롤,단백질,
1,라면,팔도)팔도비빔면컵,"₩1,300",465Kcal,1190mg,68g,14.0g,18.0g,0.0g,9.0g,0mg,8.0g,
2,라면,오뚜기)참깨라면,"₩1,700",515Kcal,1590mg,69g,4.0g,22.0g,0.0g,9.0g,15mg,10.0g,
3,라면,오뚜기)진라면매운컵,"₩1,300",500Kcal,1490mg,74g,6.0g,18.0g,0.0g,10.0g,0mg,10.0g,
4,라면,오뚜기)진라면순한컵,"₩1,300",495Kcal,1490mg,72g,3.0g,18.0g,0.0g,10.0g,0mg,11.0g,
5,라면,HEYROO)청양고추라면컵,"₩1,800",430Kcal,1690mg,66g,6.0g,15.0g,0.0g,9.0g,0mg,8.0g,
6,라면,농심)짜파게티큰사발컵,"₩1,400",550Kcal,1220mg,84g,9.0g,19.0g,0.0g,9.0g,0mg,10.0g,
7,라면,오뚜기)콕콕콕치즈게티컵,"₩2,300",520Kcal,970mg,82g,11.0g,17.0g,0.0g,9.0g,5mg,10.0g,
8,라면,오뚜기)스낵면컵,"₩1,700",400Kcal,1680mg,58g,2.0g,15.0g,0.0g,7.0g,0mg,8.0g,
9,라면,농심)신라면건면컵,"₩1,600",285Kcal,1630mg,54g,5.0g,4.4g,0.0g,1.4g,5mg,7.0g,
10,라면,삼양)삼양라면오리지널컵,"₩1,400",485Kcal,1750mg,74g,4.0g,17.0g,0.0g,9.0g,0mg,9.0g,
11,라면,HEYROO)치즈맛라면컵,"₩1,500",380Kcal,1390mg,61g,4.0g,12.0g,0.3g,10.0g,8mg,7.0g,
12,라면,농심)신라면블랙김치컵,"₩1,800",400Kcal,1600mg,64g,6.0g,13.0g,0.0g,8.0g,5mg,7.0g,
13,라면,하림)미식장인라면얼큰컵,"₩2,800",350Kcal,1480mg,69g,3.0g,3.7g,0.0g,1.1g,5mg,10.0g,
14,라면,하림)미식장인라면담백컵,"₩2,800",355Kcal,1500mg,70g,4.0g,4.1g,0.0g,1.1g,5mg,9.0g,
15,라면,농심)튀김우동큰사발컵,"₩1,400",515Kcal,1590mg,73g,8.0g,21.0g,0.0g,10.0g,5mg,9.0g,
16,라면,농심)육개장사발면,"₩1,000",375Kcal,1590mg,53g,4.0g,15.0g,0.0g,7.0g,0mg,7.0g,
17,라면,농심)김치사발면,"₩1,000",380Kcal,1520mg,56g,5.0g,14.0g,0.0g,7.0g,0mg,7.0g,
18,라면,농심)새우탕소컵,"₩1,150",290Kcal,1210mg,43g,3.0g,11.0g,0.0g,6.0g,5mg,5.0g,
19,라면,농심)너구리큰사발컵,"₩1,800",515Kcal,1590mg,72g,5.0g,21.0g,0.0g,11.0g,5mg,9.0g,
20,라면,농심)무파마큰사발컵,"₩1,800",495Kcal,1570mg,76g,4.0g,17.0g,0.0g,8.0g,0mg,9.0g,
21,김밥,주)백종원뉴열탄불고기,"₩1,300",183Kcal,450mg,33g,2.0g,3.0g,0.0g,1.2g,10mg,6.0g,
22,김밥,주)뉴김치제육,"₩1,400",165Kcal,420mg,32g,2.0g,2.2g,0.0g,0.4g,10mg,5.0g,
23,김밥,주)수능대박고추장멸치,"₩1,300",201Kcal,450mg,35g,5.0g,5.0g,0.0g,0.9g,10mg,4.0g,
24,김밥,주)코난햄감자카레삼각,"₩1,200",187Kcal,290mg,35g,1.0g,3.9g,0.0g,1.1g,5mg,3.0g,
25,김밥,김)백종원마라삼겹제주,"₩3,300",483Kcal,1060mg,61g,8.0g,19.0g,0.2g,3.0g,35mg,17.0g,
26,김밥,주)3XL김치볶음참치마요,"₩1,600",296Kcal,900mg,46g,5.0g,8.0g,0.0g,1.3g,15mg,10.0g,
27,김밥,주)백종원부대볶음삼각,"₩1,200",185Kcal,260mg,31g,1.0g,4.3g,0.0g,1.2g,5mg,4.0g,
28,김밥,주)채식크럼블고추장,"₩1,200",177Kcal,240mg,34g,3.0g,3.2g,0.0g,0.7g,0mg,3.0g,
29,김밥,김)확실한뉴신제육제주,"₩2,900",426Kcal,1350mg,65g,10.0g,10.0g,0.0g,3.6g,40mg,19.0g,
30,김밥,김)보성녹돈뉴돈까스김밥,"₩2,500",427Kcal,870mg,64g,10.0g,15.0g,0.0g,3.2g,15mg,9.0g,
31,김밥,주)주먹왕뉴참치마요,"₩2,200",437Kcal,880mg,69g,0.0g,13.0g,0.1g,2.3g,15mg,11.0g,
32,김밥,주)게딱지장삼각,"₩1,400",186Kcal,460mg,29g,1.0g,6.0g,0.0g,1.4g,10mg,4.0g,
33,김밥,주)뉴치킨마요,"₩1,300",208Kcal,470mg,29g,2.0g,8.0g,0.0g,1.4g,5mg,5.0g,
34,김밥,주)3XL뉴치킨데리마요,"₩1,600",343Kcal,610mg,53g,3.0g,11.0g,0.0g,21.0g,45mg,8.0g,콜레스테롤 45g 표기되어있으나 오기입 판단
35,김밥,주)2XL뉴스팸마요,"₩1,500",302Kcal,580mg,47g,1.0g,10.0g,0.1g,2.1g,15mg,6.0g,콜레스테롤 15g 표기되어있으나 오기입 판단
36,김밥,주)구운주먹밥불고기,"₩1,600",175Kcal,420mg,31g,2.0g,3.0g,0.0g,1.2g,10mg,6.0g,
37,김밥,주)구운주먹밥치즈,"₩1,600",200Kcal,400mg,39g,2.0g,3.1g,0.0g,1.1g,20mg,4.0g,
38,김밥,김)치즈너비아니김밥,"₩3,000",425Kcal,920mg,57g,1.0g,17.0g,0.2g,6.0g,20mg,11.0g,
39,김밥,주)카레치킨밥바,"₩2,500",431Kcal,1000mg,63g,4.0g,15.0g,0.0g,2.7g,20mg,12.0g,
40,김밥,주)해쉬브라운참치제주,"₩2,300",398Kcal,800mg,61g,2.0g,14.0g,0.0g,2.6g,5mg,7.0g,
41,빵,삼립)포켓몬제육볶음호빵,"₩2,200",272Kcal,570mg,45g,9.0g,6.0g,0.0g,18.0g,5mg,9.5g,
42,빵,삼립)포켓몬갈릭치킨호빵,"₩2,200",257Kcal,470mg,44g,10.0g,4.6g,0.0g,1.6g,10mg,10.0g,
43,빵,405)스위트시나몬롤,"₩2,300",398Kcal,300mg,52g,9.0g,18.0g,0.5g,8.0g,45mg,7.0g,
44,빵,405)애플크럼블시나몬롤,"₩2,300",398Kcal,300mg,52g,9.0g,18.0g,0.5g,8.0g,45mg,7.0g,
45,빵,405)소프트롤링스윗허니,"₩1,800",300Kcal,220mg,41g,13.0g,12.0g,0.0g,6.0g,35mg,7.0g,
46,빵,삼립)보름달인절미,"₩1,600",331Kcal,150mg,42g,29.0g,16.0g,0.0g,5.2g,165mg,4.7g,
47,빵,삼립)미니고추잡채호빵,"₩2,000",205Kcal,330mg,32g,3.4g,5.0g,0.0g,2.0g,5mg,8.0g,
48,빵,참조은)케로로고구마호빵,"₩2,200",284Kcal,281mg,53g,17.0g,3.8g,0.0g,1.6g,13mg,10.0g,
49,빵,삼립)치즈촤르륵호빵,"₩2,200",309Kcal,400mg,35g,8.0g,14.0g,0.2g,8.0g,20mg,10.7g,
50,빵,삼립)미니니듀얼데니쉬,"₩2,000",366Kcal,290mg,47g,18.0g,18.0g,0.2g,8.0g,5mg,4.0g,
51,빵,삼립)미니니부들부들샌드,"₩2,000",339Kcal,172mg,51g,34.0g,13.0g,0.2g,6.0g,156mg,4.6g,
52,빵,삼립)포켓몬우유호빵,"₩2,000",266Kcal,270mg,48g,10.0g,6.0g,0.0g,4.6g,5mg,5.0g,
53,빵,삼립)포켓몬크리미호빵,"₩2,000",243Kcal,230mg,45g,12.0g,4.3g,0.0g,2.8g,5mg,6.0g,
54,빵,푸드)꽃카황치즈쿠키,"₩1,800",395Kcal,372mg,52g,22.0g,19.0g,0.0g,9.6g,8mg,4.0g,
55,빵,롯데)카카오연유소보로,"₩2,000",426Kcal,390mg,52g,25.0g,22.0g,0.5g,12.0g,35mg,5.0g,
56,빵,삼립)옥수수꿀호떡요요,"₩2,500",541Kcal,470mg,107g,61.0g,9.0g,0.0g,3.0g,0mg,8.0g,
57,빵,연세)우유생크림빵,"₩2,700",413Kcal,210mg,49g,15.0g,21.0g,0.1g,20.0g,35mg,7.0g,
58,빵,연세)황치즈생크림빵,"₩3,300",470Kcal,800mg,55g,15.0g,22.0g,0.0g,16.0g,70mg,13.0g,
59,빵,연세)초코생크림빵,"₩2,800",423Kcal,270mg,55g,23.0g,19.0g,0.1g,15.0g,20mg,8.0g,
60,빵,연세)옥수수생크림빵,"₩3,000",468Kcal,330mg,64g,21.0g,20.0g,0.0g,14.0g,25mg,8.0g,
61,커피,스벅)바닐라라떼320ml,"₩3,000",257Kcal,180mg,29g,28.0g,13.0g,0.6g,7.7g,60mg,6.0g,
62,커피,스벅)바닐라라떼컵200ml,"₩2,100",162Kcal,114mg,18g,18.0g,8.0g,0.5g,4.8g,40mg,4.5g,
63,커피,서울)강릉커피라떼컵250ml,"₩2,700",140Kcal,130mg,15g,13.0g,6.0g,0.5g,3.6g,16mg,6.0g,
64,커피,칸타타)라떼캔200ml,"₩1,500",90Kcal,130mg,17g,16.0g,1.4g,0.0g,0.8g,5mg,2.0g,
65,커피,조지아)카페라떼캔240ml,"₩1,300",119Kcal,112mg,24g,21.0g,1.7g,0.0g,1.0g,7mg,2.0g,
66,커피,칸타타)아메캔200ml,"₩1,500",30Kcal,40mg,8g,8.0g,0.0g,0.0g,0.0g,0mg,0.0g,
67,커피,레쓰비)캔200ml,"₩1,200",60Kcal,95mg,14g,14.0g,0.0g,0.0g,0.0g,0mg,1.0g,
68,커피,하프)아메리카노P410,"₩2,700",12Kcal,20mg,1g,0.0g,0.4g,0.0g,0.0g,0mg,1.0g,
69,커피,매일)바리스타라떼P475ml,"₩2,500",180Kcal,220mg,34g,33.0g,3.7g,0.0g,2.5g,11mg,3.0g,
70,커피,티오피)돌체라떼캔275,"₩2,400",132Kcal,40mg,23g,22.0g,3.5g,0.0g,1.8g,15mg,2.2g,
71,커피,동서)맥심화이트골드원컵,"₩1,200",75Kcal,7mg,14g,8.6g,2.1g,0.0g,2.1g,0mg,0.6g,
72,커피,마스터)헤이즐넛블랙500ml,"₩2,600",119Kcal,5mg,29g,28.0g,0.0g,0.0g,0.0g,0mg,1.0g,
73,커피,스벅)프라푸치노커피병281,"₩3,000",170Kcal,110mg,29g,28.0g,3.9g,0.0g,2.6g,15mg,5.0g,
74,커피,레쓰비)라떼캔240ml,"₩1,400",95Kcal,100mg,20g,20.0g,0.9g,0.0g,0.5g,5mg,2.0g,
75,커피,스벅)셀렉트카페라떼300ml,"₩2,800",176Kcal,79mg,27g,26.0g,5.3g,0.0g,3.5g,20mg,5.0g,
76,커피,칸타타)콜드브루캔275ml,"₩2,500",11Kcal,55mg,2g,1.5g,0.0g,0.0g,0.0g,0mg,1.0g,
77,커피,스벅)더블샷바닐라캔200ml,"₩1,600",128Kcal,55mg,19g,17.0g,4.4g,0.0g,2.8g,12mg,3.0g,
78,커피,칸타타)흑임자라떼캔275ml,"₩2,500",145Kcal,170mg,24g,23.0g,3.8g,0.0g,1.4g,5mg,3.8g,
79,커피,티오피)마스터라떼캔380ml,"₩3,000",164Kcal,55mg,27g,27.0g,4.9g,0.0g,2.9g,14mg,2.9g,
80,커피,빽다방)황금라떼P450ml,"₩2,600",280Kcal,200mg,56g,56.0g,4.0g,0.0g,2.6g,13mg,5.0g,
81,탄산음료,코카)환타밀크소다캔345ml,"₩1,500",181Kcal,24mg,44g,42.0g,0.0g,0.0g,0.0g,0mg,1.2g,
82,탄산음료,일화)맥콜제로캔250ml,"₩1,500",5Kcal,35mg,1g,0.0g,0.0g,0.0g,0.0g,0mg,0.0g,
83,탄산음료,코카)환타파인제로캔355ml,"₩1,500",0Kcal,27mg,0g,0.0g,0.0g,0.0g,0.0g,0mg,0.0g,
84,탄산음료,인테)슈가로로애플P350,"₩1,800",0Kcal,20mg,1g,0.0g,0.0g,0.0g,0.0g,0mg,0.0g,
85,탄산음료,인테)슈가로로샤인P350,"₩1,800",0Kcal,30mg,1g,0.0g,0.0g,0.0g,0.0g,0mg,0.0g,
86,탄산음료,코카)닥터페퍼제로캔355ml,"₩1,700",0Kcal,30mg,0g,0.0g,0.0g,0.0g,0.0g,0mg,0.0g,
87,탄산음료,동아)나랑드그린애플캔245,"₩1,400",0Kcal,50mg,1g,0.0g,0.0g,0.0g,0.0g,0mg,0.0g,
88,탄산음료,동아)나랑드파인애플캔245,"₩1,400",0Kcal,60mg,1g,0.0g,0.0g,0.0g,0.0g,0mg,0.0g,
89,탄산음료,동아)나랑드콤부차캔245ml,"₩1,600",0Kcal,40mg,2g,0.0g,0.0g,0.0g,0.0g,0mg,0.0g,
90,탄산음료,코카)환타오렌지캔250ml,"₩1,400",48Kcal,8mg,12g,12.0g,0.0g,0.0g,0.0g,0mg,0.0g,
91,탄산음료,농심)웰치스제로포도P500,"₩2,000",0Kcal,0mg,11g,0.0g,0.0g,0.0g,0.0g,0mg,0.0g,
92,탄산음료,롯데)탐스제로파인애플355,"₩1,500",5Kcal,40mg,8g,0.0g,0.0g,0.0g,0.0g,0mg,0.0g,
93,탄산음료,롯데)칠성사이다캔355ml,"₩1,900",155Kcal,9mg,39g,38.0g,0.0g,0.0g,0.0g,0mg,0.0g,
94,탄산음료,동아)데미소다애플캔250ml,"₩1,600",100Kcal,0mg,25g,25.0g,0.0g,0.0g,0.0g,0mg,0.0g,
95,탄산음료,롯데)밀키스캔250ml,"₩1,500",130Kcal,16mg,31g,31.0g,0.0g,0.0g,0.0g,0mg,1.0g,
96,탄산음료,농심)웰치포도캔355ml,"₩1,400",192Kcal,0mg,48g,46.0g,0.0g,0.0g,0.0g,0mg,0.0g,
97,탄산음료,롯데)펩시콜라캔355ml,"₩1,900",160Kcal,10mg,40g,40.0g,0.0g,0.0g,0.0g,0mg,0.0g,
98,탄산음료,코카)코카콜라제로캔355ml,"₩2,000",0Kcal,22mg,0g,0.0g,0.0g,0.0g,0.0g,0mg,0.0g,
99,탄산음료,코카)스프라이트제로캔355ml,"₩1,700",0Kcal,11mg,1g,0.0g,0.0g,0.0g,0.0g,0mg,0.0g,
100,탄산음료,롯데)마운틴듀캔250ml,"₩1,400",120Kcal,6mg,30g,30.0g,0.0g,0.0g,0.0g,0mg,0.0g,
